Sample	Group	Hits
SRR8902718	A16S,RequiresSNPConfirmation	2844
SRR8902718	AAC6-PRIME,	160
SRR8902718	ACRA,	468
SRR8902718	ACRB,	648
SRR8902718	ACRR,RequiresSNPConfirmation	255
SRR8902718	AMPH,	415
SRR8902718	APH3-DPRIME,	447
SRR8902718	APH3-PRIME,	205
SRR8902718	APH6,	560
SRR8902718	ARNT,	794
SRR8902718	ARSA,	1070
SRR8902718	ARSBM,	758
SRR8902718	ARSCM,	391
SRR8902718	ARSDM,	281
SRR8902718	ARSRM,	245
SRR8902718	ASMA,	554
SRR8902718	CAP16S,RequiresSNPConfirmation	660
SRR8902718	CATB,RequiresSNPConfirmation	1678
SRR8902718	CEPAB,	558
SRR8902718	CORB,	146
SRR8902718	CORC,	172
SRR8902718	CPXAR,	891
SRR8902718	CRP,	396
SRR8902718	CTX,	1915
SRR8902718	CUER,	74
SRR8902718	CUSR,	169
SRR8902718	DFRA,	87
SRR8902718	DHFR,RequiresSNPConfirmation	737
SRR8902718	EEFA,	565
SRR8902718	EEFX,	75
SRR8902718	EMRB,	159
SRR8902718	EMRR,	107
SRR8902718	EPTB,	879
SRR8902718	FABG,RequiresSNPConfirmation	195
SRR8902718	FECD,	361
SRR8902718	FOLP,RequiresSNPConfirmation	372
SRR8902718	FOSA,	123
SRR8902718	GLPT,RequiresSNPConfirmation	288
SRR8902718	GYRA,RequiresSNPConfirmation	857
SRR8902718	GYRB,RequiresSNPConfirmation	896
SRR8902718	HNS,	142
SRR8902718	IBCR,	196
SRR8902718	IBPA,	118
SRR8902718	KDEA,	413
SRR8902718	KEXD,	1071
SRR8902718	KMRA,	499
SRR8902718	KPN,	472
SRR8902718	KPNE,	130
SRR8902718	KPNF,	108
SRR8902718	KPNO,	576
SRR8902718	LPTD,	965
SRR8902718	MLS23S,RequiresSNPConfirmation	12398
SRR8902718	MPHA,	506
SRR8902718	OMP37,	659
SRR8902718	OMPA,	447
SRR8902718	OMPF,RequiresSNPConfirmation	246
SRR8902718	OMPK,RequiresSNPConfirmation	284
SRR8902718	OQXA,	269
SRR8902718	OQXB,	405
SRR8902718	OXA,	393
SRR8902718	OXYRKP,	426
SRR8902718	PARC,RequiresSNPConfirmation	822
SRR8902718	PARE,RequiresSNPConfirmation	763
SRR8902718	PCOA,	1264
SRR8902718	PCOB,	473
SRR8902718	PCOC,	260
SRR8902718	PCOD,	750
SRR8902718	PCOE,	292
SRR8902718	PCOR,	453
SRR8902718	PCOS,	827
SRR8902718	PHOB,RequiresSNPConfirmation	351
SRR8902718	PHOR,	633
SRR8902718	PITA,	379
SRR8902718	PSTB,	462
SRR8902718	PSTC,	362
SRR8902718	PSTS,	275
SRR8902718	PTSL,RequiresSNPConfirmation	637
SRR8902718	QNRB,	151
SRR8902718	RPOB,RequiresSNPConfirmation	1978
SRR8902718	RPOS,	411
SRR8902718	RPSL,RequiresSNPConfirmation	314
SRR8902718	RRSC,RequiresSNPConfirmation	1535
SRR8902718	RRSH,RequiresSNPConfirmation	1488
SRR8902718	SILA,	1997
SRR8902718	SILB,	789
SRR8902718	SILC,	572
SRR8902718	SILE,	308
SRR8902718	SILF,	300
SRR8902718	SILP,	1734
SRR8902718	SILS,	910
SRR8902718	SODA,	243
SRR8902718	SULI,	233
SRR8902718	SULII,	412
SRR8902718	TEM,	197
SRR8902718	TUFAB,RequiresSNPConfirmation	1102
SRR8902718	YJCG,	423
