Sample	Mechanism	Hits
SRR8902815	Acetate resistance protein	1290
SRR8902815	Acid resistance protein	2621
SRR8902815	Acid resistance regulator	237
SRR8902815	Aminocoumarin-resistant DNA topoisomerases	772
SRR8902815	Aminoglycoside N-acetyltransferases	447
SRR8902815	Aminoglycoside O-nucleotidyltransferases	184
SRR8902815	Aminoglycoside O-phosphotransferases	463
SRR8902815	Aminoglycoside efflux pumps	128
SRR8902815	Aminoglycoside-resistant 16S ribosomal subunit protein	2790
SRR8902815	Arsenic resistance protein	1832
SRR8902815	Arsenic resistance regulator	196
SRR8902815	Biocide and metal ABC efflux pumps	1284
SRR8902815	Biocide and metal resistance protein	1533
SRR8902815	Cationic peptide-resistant 16S ribosomal subunit protein	1255
SRR8902815	Chloramphenicol acetyltransferases	693
SRR8902815	Chromium resistance protein	215
SRR8902815	Class A betalactamases	61
SRR8902815	Class C betalactamase regulator	118
SRR8902815	Class C betalactamases	178
SRR8902815	Class D betalactamases	74
SRR8902815	Colistin-resistant mutant	255
SRR8902815	Copper resistance protein	2253
SRR8902815	Copper resistance regulator	327
SRR8902815	Dihydrofolate reductase	29
SRR8902815	Drug and biocide ABC efflux pumps	415
SRR8902815	Drug and biocide MATE efflux pumps	412
SRR8902815	Drug and biocide MFS efflux pumps	3808
SRR8902815	Drug and biocide MFS efflux regulator	1149
SRR8902815	Drug and biocide RND efflux pumps	6202
SRR8902815	Drug and biocide RND efflux regulator	2067
SRR8902815	Drug and biocide SMR efflux pumps	381
SRR8902815	Drug and biocide and metal RND efflux pumps	3355
SRR8902815	Drug and biocide and metal RND efflux regulator	689
SRR8902815	Drug and biocide and metal resistance regulator	114
SRR8902815	EF-Tu inhibition	882
SRR8902815	Fluoroquinolone-resistant DNA topoisomerases	1630
SRR8902815	Fosfomycin target mutation	1915
SRR8902815	Iron resistance protein	1009
SRR8902815	Lipid A modification	1175
SRR8902815	MDR acetyltransferase	87
SRR8902815	Macrolide phosphotransferases	504
SRR8902815	Macrolide-resistant 23S rRNA mutation	8849
SRR8902815	Multi-biocide RND efflux pump	608
SRR8902815	Multi-biocide SMR efflux pump	193
SRR8902815	Multi-biocide resistance protein	545
SRR8902815	Multi-biocide resistance regulator	942
SRR8902815	Multi-drug ABC efflux pumps	704
SRR8902815	Multi-drug RND efflux pumps	79
SRR8902815	Multi-drug RND efflux regulator	639
SRR8902815	Multi-metal ABC efflux pumps	1658
SRR8902815	Multi-metal RND efflux pumps	1433
SRR8902815	Multi-metal RND efflux regulator	497
SRR8902815	Multi-metal resistance protein	5063
SRR8902815	Multi-metal resistance regulator	1570
SRR8902815	Mutant porin proteins	263
SRR8902815	Nickel ABC efflux pumps	1480
SRR8902815	Nickel ABC efflux regulator	212
SRR8902815	Penicillin binding protein	1451
SRR8902815	Peroxide resistance stress protein	280
SRR8902815	Phenolic resistance protein	270
SRR8902815	Rifampin-resistant beta-subunit of RNA polymerase RpoB	1505
SRR8902815	Sodium resistance protein	1231
SRR8902815	Sulfonamide-resistant dihydropteroate synthases	375
SRR8902815	Tetracycline resistance MFS efflux pumps	450
SRR8902815	Tetracycline transcriptional repressor	283
SRR8902815	Triclosan-resistant mutation	202
SRR8902815	Undecaprenyl pyrophosphate phosphatase	245
SRR8902815	Zinc resistance protein	1031
SRR8902815	Zinc resistance regulator	901
SRR8902815	peroxide resistance protein	437
