Sample	Group	Hits
SRR8902815	AAC3,	360
SRR8902815	AAC6-PRIME,	87
SRR8902815	ACRA,	460
SRR8902815	ACRB,	1102
SRR8902815	ACRD,	948
SRR8902815	ACRE,	381
SRR8902815	ACRF,	1103
SRR8902815	ACRR,RequiresSNPConfirmation	160
SRR8902815	ACRS,	82
SRR8902815	AMPCR,RequiresSNPConfirmation	118
SRR8902815	AMPH,	369
SRR8902815	ANT3-DPRIME,	184
SRR8902815	APH3-DPRIME,	172
SRR8902815	APH6,	291
SRR8902815	ARIR,	39
SRR8902815	ARSCM,	57
SRR8902815	ARSR,	196
SRR8902815	ASMA,	639
SRR8902815	ASR,	107
SRR8902815	BACA,	245
SRR8902815	BAER,	264
SRR8902815	BAES,	425
SRR8902815	BCR,	372
SRR8902815	BHSA,	42
SRR8902815	BLAEC,	178
SRR8902815	CAP16S,RequiresSNPConfirmation	1255
SRR8902815	CATB,RequiresSNPConfirmation	693
SRR8902815	CHAA,	325
SRR8902815	COMR,	157
SRR8902815	COPA,	761
SRR8902815	CORA,	283
SRR8902815	CORB,	265
SRR8902815	CORC,	229
SRR8902815	CORD,	159
SRR8902815	CPXAR,	708
SRR8902815	CRP,	303
SRR8902815	CTX,	61
SRR8902815	CUEO,	490
SRR8902815	CUER,	128
SRR8902815	CUSA,	851
SRR8902815	CUSB,	317
SRR8902815	CUSC,	193
SRR8902815	CUSF,	72
SRR8902815	CUSR,	186
SRR8902815	CUSS,	311
SRR8902815	CUTA,	192
SRR8902815	CUTC,	161
SRR8902815	CUTE,	432
SRR8902815	CUTF,	217
SRR8902815	DFRA,	29
SRR8902815	DSBA,	103
SRR8902815	DSBB,	224
SRR8902815	DSBC,	251
SRR8902815	EMRA,	368
SRR8902815	EMRB,	379
SRR8902815	EMRD,	494
SRR8902815	EMRK,	435
SRR8902815	EMRR,	166
SRR8902815	EMRY,	500
SRR8902815	EPTA,	543
SRR8902815	EVGA,	121
SRR8902815	EVGS,	983
SRR8902815	FABG,RequiresSNPConfirmation	202
SRR8902815	FABI,	270
SRR8902815	FECD,	379
SRR8902815	FECE,	368
SRR8902815	FETA,	111
SRR8902815	FETB,	153
SRR8902815	FIEF,	361
SRR8902815	FOLP,RequiresSNPConfirmation	183
SRR8902815	GADA,	691
SRR8902815	GADB,	99
SRR8902815	GADC,	552
SRR8902815	GADE,	116
SRR8902815	GADW,	232
SRR8902815	GADX,	186
SRR8902815	GLPF,	155
SRR8902815	GLPT,RequiresSNPConfirmation	325
SRR8902815	GYRA,RequiresSNPConfirmation	374
SRR8902815	GYRBA,RequiresSNPConfirmation	772
SRR8902815	HDEA,	104
SRR8902815	HDEB,	165
SRR8902815	HNS,	79
SRR8902815	IBCR,	87
SRR8902815	IBPA,	161
SRR8902815	IBPB,	119
SRR8902815	ICLR,	306
SRR8902815	KDPE,	128
SRR8902815	KPN,	163
SRR8902815	LPDT,	984
SRR8902815	MARA,	156
SRR8902815	MARR,	240
SRR8902815	MDFA,	384
SRR8902815	MDTA,	384
SRR8902815	MDTB,	863
SRR8902815	MDTC,	845
SRR8902815	MDTE,	453
SRR8902815	MDTF,	1182
SRR8902815	MDTG,	345
SRR8902815	MDTH,	368
SRR8902815	MDTI,	135
SRR8902815	MDTJ,	66
SRR8902815	MDTK,	412
SRR8902815	MDTN,	368
SRR8902815	MDTO,	651
SRR8902815	MDTP,	502
SRR8902815	MGTA,	989
SRR8902815	MLS23S,RequiresSNPConfirmation	8849
SRR8902815	MNTH,	348
SRR8902815	MNTP,	163
SRR8902815	MNTR,	162
SRR8902815	MODA,	235
SRR8902815	MODB,	236
SRR8902815	MODC,	440
SRR8902815	MPHA,	343
SRR8902815	MPHB,	161
SRR8902815	MSBA,	704
SRR8902815	MURA,RequiresSNPConfirmation	439
SRR8902815	MVRC,	147
SRR8902815	NFSA,	215
SRR8902815	NHAA,	497
SRR8902815	NHAB,	409
SRR8902815	NIKA,	508
SRR8902815	NIKB,	260
SRR8902815	NIKC,	317
SRR8902815	NIKD,	200
SRR8902815	NIKE,	195
SRR8902815	NIKR,	212
SRR8902815	OMPFB,RequiresSNPConfirmation	263
SRR8902815	OXA,	74
SRR8902815	OXYRKP,	298
SRR8902815	PARC,RequiresSNPConfirmation	664
SRR8902815	PAREF,RequiresSNPConfirmation	592
SRR8902815	PBP2,	716
SRR8902815	PBP4B,	366
SRR8902815	PITA,	1045
SRR8902815	PMRAR,RequiresSNPConfirmation	255
SRR8902815	PMRF,	275
SRR8902815	PSTA,	454
SRR8902815	PSTB,	528
SRR8902815	PSTC,	407
SRR8902815	PSTS,	443
SRR8902815	PTSL,RequiresSNPConfirmation	654
SRR8902815	QACEDELTA1,	33
SRR8902815	RCNA,	335
SRR8902815	RCNB,	124
SRR8902815	RCNR,	104
SRR8902815	ROBA,	315
SRR8902815	RPOB,RequiresSNPConfirmation	1505
SRR8902815	RPOS,	321
SRR8902815	RPSL,RequiresSNPConfirmation	237
SRR8902815	RRSC,RequiresSNPConfirmation	1341
SRR8902815	RRSH,RequiresSNPConfirmation	1212
SRR8902815	SITABCD,	1020
SRR8902815	SODA,	211
SRR8902815	SODB,	163
SRR8902815	SOXRB,	177
SRR8902815	SOXS,	114
SRR8902815	SUGE,	193
SRR8902815	SULI,	43
SRR8902815	SULII,	149
SRR8902815	TEHA,	329
SRR8902815	TEHB,	173
SRR8902815	TETA,	450
SRR8902815	TETR,RequiresSNPConfirmation	283
SRR8902815	TOLC,	608
SRR8902815	TUFAB,RequiresSNPConfirmation	882
SRR8902815	UGD,	357
SRR8902815	UHPT,RequiresSNPConfirmation	497
SRR8902815	YBTP,	455
SRR8902815	YBTQ,	554
SRR8902815	YCHH,	117
SRR8902815	YDEI,	63
SRR8902815	YDEO,	107
SRR8902815	YDEP,	903
SRR8902815	YGIW,	125
