Sample	Group	Hits
SRR8902714	A16S,RequiresSNPConfirmation	1179
SRR8902714	APH3-DPRIME,	468
SRR8902714	APH3-PRIME,	235
SRR8902714	ARMR,	221
SRR8902714	ARNA,	1425
SRR8902714	BASRS,	1244
SRR8902714	BASRS,RequiresSNPConfirmation	980
SRR8902714	BCR1,	1111
SRR8902714	CAP16S,RequiresSNPConfirmation	735
SRR8902714	CAT,	626
SRR8902714	CINA,	582
SRR8902714	COPA,	1212
SRR8902714	COPB,	1015
SRR8902714	COPG,	464
SRR8902714	COPR,	442
SRR8902714	CPRR,	865
SRR8902714	CPRS,	1047
SRR8902714	CPXAR,	1391
SRR8902714	CRPP,	223
SRR8902714	CZRA,	2532
SRR8902714	CZRB,	1019
SRR8902714	EMRE,	315
SRR8902714	FOLP,RequiresSNPConfirmation	811
SRR8902714	FOSA,	394
SRR8902714	FPTA,	1421
SRR8902714	FPVA,	1891
SRR8902714	GYRA,RequiresSNPConfirmation	1988
SRR8902714	MEXA,	763
SRR8902714	MEXB,	2554
SRR8902714	MEXC,	968
SRR8902714	MEXD,	2258
SRR8902714	MEXE,	1028
SRR8902714	MEXF,	2751
SRR8902714	MEXG,	582
SRR8902714	MEXH,	988
SRR8902714	MEXI,	2670
SRR8902714	MEXJ,	855
SRR8902714	MEXK,	2771
SRR8902714	MEXL,	541
SRR8902714	MEXN,	3784
SRR8902714	MEXQ,	4460
SRR8902714	MEXR,	221
SRR8902714	MEXS,RequiresSNPConfirmation	941
SRR8902714	MEXT,RequiresSNPConfirmation	790
SRR8902714	MEXV,	1100
SRR8902714	MEXW,	2849
SRR8902714	MEXX,	720
SRR8902714	MEXY,	2420
SRR8902714	MEXZ,RequiresSNPConfirmation	570
SRR8902714	MLS23S,RequiresSNPConfirmation	2786
SRR8902714	MUXA,	1109
SRR8902714	MUXB,	2828
SRR8902714	MUXC,	2343
SRR8902714	NALC,RequiresSNPConfirmation	541
SRR8902714	NALD,RequiresSNPConfirmation	573
SRR8902714	NFXB,RequiresSNPConfirmation	543
SRR8902714	OPMB,	1188
SRR8902714	OPMD,	1178
SRR8902714	OPMH,	1418
SRR8902714	OPRD,RequiresSNPConfirmation	1174
SRR8902714	OPRJ,	1165
SRR8902714	OPRM,	1257
SRR8902714	OPRN,	1418
SRR8902714	OXA,	396
SRR8902714	PARC,RequiresSNPConfirmation	1625
SRR8902714	PARE,RequiresSNPConfirmation	1443
SRR8902714	PARR,	521
SRR8902714	PARS,	1092
SRR8902714	PDC,	370
SRR8902714	PHOP,RequiresSNPConfirmation	876
SRR8902714	PHOQ,RequiresSNPConfirmation	1412
SRR8902714	PMPM,	1255
SRR8902714	RECGM,	1779
SRR8902714	RPOB,RequiresSNPConfirmation	2490
SRR8902714	RRSC,RequiresSNPConfirmation	741
SRR8902714	RRSH,RequiresSNPConfirmation	1367
SRR8902714	RSMA,	195
SRR8902714	RUVB,	788
SRR8902714	RUVBM,	709
SRR8902714	SODA,	346
SRR8902714	SODB,	415
SRR8902714	SOXR,	418
SRR8902714	TRIA,	1153
SRR8902714	TRIB,	942
SRR8902714	TRIC,	2171
SRR8902714	TUFAB,RequiresSNPConfirmation	1632
SRR8902714	YAJC,	496
SRR8902714	YGIW,	463
