Sample	Class	Hits
SRR8902665	Aminocoumarins	3341
SRR8902665	Aminoglycosides	3703
SRR8902665	Arsenic resistance	112
SRR8902665	Copper resistance	312
SRR8902665	Drug and biocide resistance	6638
SRR8902665	Elfamycins	805
SRR8902665	Fluoroquinolones	4240
SRR8902665	Fosfomycin	3805
SRR8902665	Fusidic acid	2894
SRR8902665	Lipopeptides	7818
SRR8902665	MLS	5212
SRR8902665	Multi-drug resistance	1160
SRR8902665	Multi-metal resistance	486
SRR8902665	Mupirocin	2028
SRR8902665	Nucleosides	1967
SRR8902665	Oxazolidinone	18896
SRR8902665	Peroxide resistance	82
SRR8902665	Phenicol	847
SRR8902665	Phenolic compound resistance	389
SRR8902665	Rifampin	3525
SRR8902665	Sulfonamides	533
SRR8902665	Tetracyclines	793
SRR8902665	Trimethoprim	378
SRR8902665	betalactams	5284
