Sample	Class	Hits
SRR8902718	Acid resistance	640
SRR8902718	Aminocoumarins	763
SRR8902718	Aminoglycosides	7553
SRR8902718	Arsenic resistance	1099
SRR8902718	Biguanide resistance	558
SRR8902718	Cationic antimicrobial peptides	660
SRR8902718	Copper resistance	4101
SRR8902718	Drug and biocide resistance	6780
SRR8902718	Elfamycins	1102
SRR8902718	Fluoroquinolones	2726
SRR8902718	Fosfomycin	1048
SRR8902718	Lipopeptides	1673
SRR8902718	MLS	12904
SRR8902718	Multi-biocide resistance	2331
SRR8902718	Multi-drug resistance	2387
SRR8902718	Multi-metal resistance	10874
SRR8902718	Peroxide resistance	361
SRR8902718	Phenicol	1678
SRR8902718	Phenolic compound resistance	195
SRR8902718	Rifampin	1978
SRR8902718	Sulfonamides	1017
SRR8902718	Trimethoprim	824
SRR8902718	betalactams	4026
