Sample	Mechanism	Hits
SRR8902665	23S rRNA methyltransferases	552
SRR8902665	Aminocoumarin-resistant DNA topoisomerases	3341
SRR8902665	Aminoglycoside N-acetyltransferases	116
SRR8902665	Aminoglycoside O-phosphotransferases	3587
SRR8902665	Arsenic resistance protein	112
SRR8902665	Class A betalactamases	305
SRR8902665	Copper resistance regulator	312
SRR8902665	Daptomycin-resistant beta-subunit of RNA polymerase RpoC	3062
SRR8902665	Daptomycin-resistant mutant	3950
SRR8902665	Dihydrofolate reductase	378
SRR8902665	Drug and biocide MATE efflux pumps	686
SRR8902665	Drug and biocide MATE efflux regulator	204
SRR8902665	Drug and biocide MFS efflux pumps	4325
SRR8902665	Drug and biocide RND efflux pumps	1423
SRR8902665	EF-Tu inhibition	805
SRR8902665	Fluoroquinolone-resistant DNA topoisomerases	4240
SRR8902665	Fosfomycin target mutation	3723
SRR8902665	Fosfomycin thiol transferases	82
SRR8902665	Fusidic acid-resistant mutation	2894
SRR8902665	Lysocin-resistant mutant	806
SRR8902665	MDR regulator	971
SRR8902665	MLS resistance ABC efflux pumps	2080
SRR8902665	Macrolide phosphotransferases	2580
SRR8902665	Multi-drug MATE efflux pump	189
SRR8902665	Multi-metal resistance protein	486
SRR8902665	Mupirocin-resistant isoleucyl-tRNA synthetase	2028
SRR8902665	Oxazolidinone-resistant 23S rRNA mutation	18896
SRR8902665	Penicillin binding protein	3747
SRR8902665	Penicillin binding protein regulator	1232
SRR8902665	Phenicol resistance MFS efflux pumps	847
SRR8902665	Phenolic resistance protein	389
SRR8902665	Rifampin-resistant beta-subunit of RNA polymerase RpoB	3525
SRR8902665	Streptothricin acetyltransferase	1967
SRR8902665	Sulfonamide-resistant dihydropteroate synthases	533
SRR8902665	Tetracycline resistance MFS efflux pumps	793
SRR8902665	peroxide resistance regulator	82
